Distance (m);Config ID;SF;PL (bytes);PE (dBm);Recebidos;Corruptos;Perdidos;RSSI (dBm);SNR (dB)
30;1;7;30;7;15;0;0;-105,81;2,2
30;2;7;30;10;15;0;0;-103,78;5,09
30;3;7;30;14;15;0;0;-100,7;7,44
30;4;7;70;7;15;0;0;-106,71;2,03
30;5;7;70;10;15;0;0;-104,72;4,95
30;6;7;70;14;15;0;0;-101,34;7,72
30;7;7;110;7;15;0;0;-105,64;3,69
30;8;7;110;10;15;0;0;-103,21;6,61
30;9;7;110;14;15;0;0;-98,65;9,18
30;10;9;30;7;15;0;0;-105,15;4,63
30;11;9;30;10;15;0;0;-101,98;6,95
30;12;9;30;14;15;0;0;-98,74;8,07
30;13;9;70;7;15;0;0;-102,68;6,29
30;14;9;70;10;15;0;0;-100,44;7,82
30;15;9;70;14;15;0;0;-99,71;8,29
30;16;9;110;7;15;0;0;-105,5;4,76
30;17;9;110;10;15;0;0;-104,15;5,8
30;18;9;110;14;15;0;0;-99,09;8,69
30;19;12;30;7;15;0;0;-104,16;4
30;20;12;30;10;15;0;0;-100,2;4,74
30;21;12;30;14;15;0;0;-98,25;5,51
30;22;12;70;7;15;0;0;-101,21;4,18
30;23;12;70;10;15;0;0;-99,01;4,28
30;24;12;70;14;15;0;0;-93,89;5,55
30;25;12;110;7;15;0;0;-99,33;4,34
30;26;12;110;10;15;0;0;-95,64;4,21
30;27;12;110;14;15;0;0;-93,42;5,37
80;1;7;30;7;15;0;0;-105,42;5,22
80;2;7;30;10;15;0;0;-106,41;4,84
80;3;7;30;14;15;0;0;-102,5;6,92
80;4;7;70;7;15;0;0;-106,66;4
80;5;7;70;10;15;0;0;-98,04;9,56
80;6;7;70;14;15;0;0;-95,88;10,09
80;7;7;110;7;15;0;0;-100,12;9,03
80;8;7;110;10;15;0;0;-97,3;10,51
80;9;7;110;14;15;0;0;-94,94;11,03
80;10;9;30;7;15;0;0;-102,42;7,02
80;11;9;30;10;15;0;0;-99,29;8,69
80;12;9;30;14;15;0;0;-96,15;9,29
80;13;9;70;7;15;0;0;-101,85;7,07
80;14;9;70;10;15;0;0;-100,41;7,64
80;15;9;70;14;15;0;0;-95,57;9
80;16;9;110;7;15;0;0;-102,04;7
80;17;9;110;10;15;0;0;-99,44;8,5
80;18;9;110;14;15;0;0;-99,36;8,07
80;19;12;30;7;15;0;0;-101,26;4,35
80;20;12;30;10;15;0;0;-99,49;4,88
80;21;12;30;14;15;0;0;-97,16;5,26
80;22;12;70;7;15;0;0;-101,88;3,71
80;23;12;70;10;15;0;0;-100,03;4,88
80;24;12;70;14;15;0;0;-97,1;5,44
80;25;12;110;7;15;0;0;-102,21;3,94
80;26;12;110;10;15;0;0;-99,78;4,69
80;27;12;110;14;15;0;0;-97,75;5,21
150;1;7;30;7;15;0;0;-110,63;-3,09
150;2;7;30;10;15;0;0;-109,93;-0,06
150;3;7;30;14;15;0;0;-108,24;2,5
150;4;7;70;7;15;0;0;-112,18;-4,68
150;5;7;70;10;15;0;0;-111,64;-2,6
150;6;7;70;14;15;0;0;-111,24;-2,38
150;7;7;110;7;15;0;0;-110,44;-5,72
150;8;7;110;10;15;0;0;-109,68;-3,79
150;9;7;110;14;15;0;0;-109,76;-4,26
150;10;9;30;7;15;0;0;-110,41;-7,21
150;11;9;30;10;15;0;0;-110,11;-5,56
150;12;9;30;14;15;0;0;-109;-1,74
150;13;9;70;7;15;0;0;-110,57;-6,35
150;14;9;70;10;15;0;0;-109,64;-4,15
150;15;9;70;14;15;0;0;-108,12;-0,91
150;16;9;110;7;15;0;0;-109,93;-6,37
150;17;9;110;10;15;0;0;-109,64;-3,82
150;18;9;110;14;15;0;0;-107,71;-0,06
150;19;12;30;7;15;0;0;-110;-5,57
150;20;12;30;10;15;0;0;-109,31;-3,18
150;21;12;30;14;15;0;0;-108,17;-1,29
150;22;12;70;7;15;0;0;-110,24;-6,23
150;23;12;70;10;15;0;0;-108,88;-4,51
150;24;12;70;14;15;0;0;-105,57;-3,06
150;25;12;110;7;15;0;0;-110,1;-5,54
150;26;12;110;10;15;0;0;-109,44;-3,29
150;27;12;110;14;15;0;0;-108,14;-1,38
300;1;7;30;7;0;0;15;NA;NA
300;2;7;30;10;0;0;15;NA;NA
300;3;7;30;14;0;0;15;NA;NA
300;4;7;70;7;0;0;15;NA;NA
300;5;7;70;10;0;0;15;NA;NA
300;6;7;70;14;0;0;15;NA;NA
300;7;7;110;7;0;0;15;NA;NA
300;8;7;110;10;0;0;15;NA;NA
300;9;7;110;14;0;0;15;NA;NA
300;10;9;30;7;0;0;15;NA;NA
300;11;9;30;10;0;0;15;NA;NA
300;12;9;30;14;0;1;14;NA;NA
300;13;9;70;7;0;0;15;NA;NA
300;14;9;70;10;0;0;15;NA;NA
300;15;9;70;14;0;2;13;NA;NA
300;16;9;110;7;0;0;15;NA;NA
300;17;9;110;10;0;0;15;NA;NA
300;18;9;110;14;0;0;15;NA;NA
300;19;12;30;7;13;0;2;-114,28;-15,88
300;20;12;30;10;15;0;0;-114,31;-15,05
300;21;12;30;14;15;0;0;-114,06;-11,48
300;22;12;70;7;15;0;0;-114,37;-17,79
300;23;12;70;10;15;0;0;-114,18;-16,05
300;24;12;70;14;15;0;0;-114,04;-14,57
300;25;12;110;7;13;1;1;-114,31;-20,7
300;26;12;110;10;13;1;1;-114,22;-19,1
300;27;12;110;14;14;1;0;-114,12;-18,5
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
