Distance (m);Config ID;SF;PL (bytes);PE (dBm);Recebidos;Corruptos;Perdidos;RSSI (dBm);SNR (dB);;;;;;;;;;;;
30;1;7;30;7;15;0;0;-84,57;11,82;;;;;;;;;;;;
30;2;7;30;10;15;0;0;-79,94;11,94;;;;;;;;;;;;
30;3;7;30;14;15;0;0;-77,93;11,82;;;;;;;;;;;;
30;4;7;70;7;15;0;0;-83,37;11,73;;;;;;;;;;;;
30;5;7;70;10;15;0;0;-83,09;11,94;;;;;;;;;;;;
30;6;7;70;14;15;0;0;-75,69;12;;;;;;;;;;;;
30;7;7;110;7;15;0;0;-80,72;12,29;;;;;;;;;;;;
30;8;7;110;10;15;0;0;-77,37;12,29;;;;;;;;;;;;
30;9;7;110;14;15;0;0;-75,42;12,07;;;;;;;;;;;;
30;10;9;30;7;15;0;0;-81,02;10,36;;;;;;;;;;;;
30;11;9;30;10;15;0;0;-79,24;10,36;;;;;;;;;;;;
30;12;9;30;14;15;0;0;-77,03;10,76;;;;;;;;;;;;
30;13;9;70;7;15;0;0;-84,98;9,87;;;;;;;;;;;;
30;14;9;70;10;15;0;0;-80,53;10,22;;;;;;;;;;;;
30;15;9;70;14;15;0;0;-74,44;10,56;;;;;;;;;;;;
30;16;9;110;7;15;0;0;-82,81;10,16;;;;;;;;;;;;
30;17;9;110;10;15;0;0;-78,8;10,43;;;;;;;;;;;;
30;18;9;110;14;15;0;0;-75,44;10,63;;;;;;;;;;;;
30;19;12;30;7;15;0;0;-80,75;4,76;;;;;;;;;;;;
30;20;12;30;10;15;0;0;-82,17;6,09;;;;;;;;;;;;
30;21;12;30;14;15;0;0;-76,58;5,64;;;;;;;;;;;;
30;22;12;70;7;15;0;0;-86,42;4,72;;;;;;;;;;;;
30;23;12;70;10;15;0;0;-83,32;6,3;;;;;;;;;;;;
30;24;12;70;14;15;0;0;-79,01;4,52;;;;;;;;;;;;
30;25;12;110;7;15;0;0;-85,53;4,91;;;;;;;;;;;;
30;26;12;110;10;15;0;0;-80,66;6,26;;;;;;;;;;;;
30;27;12;110;14;15;0;0;-82,12;6,07;;;;;;;;;;;;
80;1;7;30;7;15;0;0;-84,57;2,2;;;;;;;;;;;;
80;2;7;30;10;15;0;0;-106,1;6,1;;;;;;;;;;;;
80;3;7;30;14;15;0;0;-105,06;6,58;;;;;;;;;;;;
80;4;7;70;7;15;0;0;-108,39;3,61;;;;;;;;;;;;
80;5;7;70;10;15;0;0;-105,99;6,01;;;;;;;;;;;;
80;6;7;70;14;15;0;0;-103,61;7,57;;;;;;;;;;;;
80;7;7;110;7;14;0;1;-108,81;3,44;;;;;;;;;;;;
80;8;7;110;10;15;0;0;-105,59;6,43;;;;;;;;;;;;
80;9;7;110;14;15;0;0;-101,67;8,96;;;;;;;;;;;;
80;10;9;30;7;15;0;0;-107,42;4,58;;;;;;;;;;;;
80;11;9;30;10;15;0;0;-103,33;7,43;;;;;;;;;;;;
80;12;9;30;14;15;0;0;-102,59;7,97;;;;;;;;;;;;
80;13;9;70;7;15;0;0;-107,22;4,71;;;;;;;;;;;;
80;14;9;70;10;15;0;0;-104,59;6,77;;;;;;;;;;;;
80;15;9;70;14;15;0;0;-102,17;8;;;;;;;;;;;;
80;16;9;110;7;15;0;0;-107,58;4,42;;;;;;;;;;;;
80;17;9;110;10;14;1;0;-105,58;6,17;;;;;;;;;;;;
80;18;9;110;14;14;1;0;-103,4;7,2;;;;;;;;;;;;
80;19;12;30;7;15;0;0;-107,25;3,36;;;;;;;;;;;;
80;20;12;30;10;15;0;0;-105,51;3,74;;;;;;;;;;;;
80;21;12;30;14;15;0;0;-102,33;4,34;;;;;;;;;;;;
80;22;12;70;7;15;0;0;-105,66;3,46;;;;;;;;;;;;
80;23;12;70;10;15;0;0;-104;4,44;;;;;;;;;;;;
80;24;12;70;14;15;0;0;-101,54;4,49;;;;;;;;;;;;
80;25;12;110;7;15;0;0;-108,69;2,53;;;;;;;;;;;;
80;26;12;110;10;15;0;0;-105,37;4,23;;;;;;;;;;;;
80;27;12;110;14;15;0;0;-101,27;4,66;;;;;;;;;;;;
150;1;7;30;7;5;1;9;-112,57;-6,19;;;;;;;;;;;;
150;2;7;30;10;12;0;3;-112,11;-5,14;;;;;;;;;;;;
150;3;7;30;14;9;1;5;-112,12;-5,16;;;;;;;;;;;;
150;4;7;70;7;13;0;2;-112,15;-6,96;;;;;;;;;;;;
150;5;7;70;10;11;1;3;-112,18;-4,46;;;;;;;;;;;;
150;6;7;70;14;7;2;6;-112,54;-6,65;;;;;;;;;;;;
150;7;7;110;7;7;0;8;-112,4;6,46;;;;;;;;;;;;
150;8;7;110;10;9;2;4;-112,42;-6,83;;;;;;;;;;;;
150;9;7;110;14;12;0;3;-111,39;-3,11;;;;;;;;;;;;
150;10;9;30;7;15;0;0;-112,26;-5,81;;;;;;;;;;;;
150;11;9;30;10;7;4;4;-112,69;-8,78;;;;;;;;;;;;
150;12;9;30;14;14;1;0;-110,11;-0,39;;;;;;;;;;;;
150;13;9;70;7;10;0;5;-112,89;-9,81;;;;;;;;;;;;
150;14;9;70;10;10;2;3;-112,57;-7,03;;;;;;;;;;;;
150;15;9;70;14;14;0;1;-109,98;-1,04;;;;;;;;;;;;
150;16;9;110;7;15;0;0;-112,57;-7,39;;;;;;;;;;;;
150;17;9;110;10;13;1;1;-112,75;-7,88;;;;;;;;;;;;
150;18;9;110;14;12;3;0;-112,82;-8,71;;;;;;;;;;;;
150;19;12;30;7;13;1;1;-112,41;-5,62;;;;;;;;;;;;
150;20;12;30;10;14;1;0;-112,31;-5,23;;;;;;;;;;;;
150;21;12;30;14;15;0;0;-111,32;-2,5;;;;;;;;;;;;
150;22;12;70;7;15;0;0;-111,95;-5,14;;;;;;;;;;;;
150;23;12;70;10;15;0;0;-111,94;-4,23;;;;;;;;;;;;
150;24;12;70;14;15;0;0;-111,47;-4,47;;;;;;;;;;;;
150;25;12;110;7;11;3;1;-112,7;-7,05;;;;;;;;;;;;
150;26;12;110;10;14;1;0;-112,21;-6,44;;;;;;;;;;;;
150;27;12;110;14;15;0;0;-109,72;-2,78;;;;;;;;;;;;
225;1;7;30;7;0;0;15;NA;NA;;;;;;;;;;;;
225;2;7;30;10;0;0;15;NA;NA;;;;;;;;;;;;
225;3;7;30;14;0;0;15;NA;NA;;;;;;;;;;;;
225;4;7;70;7;0;0;15;NA;NA;;;;;;;;;;;;
225;5;7;70;10;0;0;15;NA;NA;;;;;;;;;;;;
225;6;7;70;14;5;3;7;-113,57;-8,95;;;;;;;;;;;;
225;7;7;110;7;0;0;15;NA;NA;;;;;;;;;;;;
225;8;7;110;10;0;0;15;NA;NA;;;;;;;;;;;;
225;9;7;110;14;0;1;14;NA;NA;;;;;;;;;;;;
225;10;9;30;7;0;0;15;NA;NA;;;;;;;;;;;;
225;11;9;30;10;2;2;11;-113,47;-13,47;;;;;;;;;;;;
225;12;9;30;14;13;0;2;-114,07;-13,44;;;;;;;;;;;;
225;13;9;70;7;0;1;14;NA;NA;;;;;;;;;;;;
225;14;9;70;10;15;0;0;-113,93;-13,03;;;;;;;;;;;;
225;15;9;70;14;14;0;1;-114;-10,97;;;;;;;;;;;;
225;16;9;110;7;3;3;9;-114;-15;;;;;;;;;;;;
225;17;9;110;10;14;0;1;-114;-13,26;;;;;;;;;;;;
225;18;9;110;14;15;0;0;-113,93;-11,03;;;;;;;;;;;;
225;19;12;30;7;15;0;0;-114,06;-14,8;;;;;;;;;;;;
225;20;12;30;10;15;0;0;-113,72;-13,17;;;;;;;;;;;;
225;21;12;30;14;14;1;0;-114;-10,55;;;;;;;;;;;;
225;22;12;70;7;15;0;0;-113,98;-15,39;;;;;;;;;;;;
225;23;12;70;10;15;0;0;-113,98;-12,47;;;;;;;;;;;;
225;24;12;70;14;15;0;0;-113,71;-12,07;;;;;;;;;;;;
225;25;12;110;7;14;1;0;-113,92;-15,67;;;;;;;;;;;;
225;26;12;110;10;15;0;0;-114;-13,55;;;;;;;;;;;;
225;27;12;110;14;15;0;0;-113,92;-11,77;;;;;;;;;;;;
300;1;7;30;7;0;0;15;NA;NA;;;;;;;;;;;;
300;2;7;30;10;0;0;15;NA;NA;;;;;;;;;;;;
300;3;7;30;14;0;0;15;NA;NA;;;;;;;;;;;;
300;4;7;70;7;0;0;15;NA;NA;;;;;;;;;;;;
300;5;7;70;10;0;0;15;NA;NA;;;;;;;;;;;;
300;6;7;70;14;0;0;15;NA;NA;;;;;;;;;;;;
300;7;7;110;7;0;0;15;NA;NA;;;;;;;;;;;;
300;8;7;110;10;0;0;15;NA;NA;;;;;;;;;;;;
300;9;7;110;14;0;0;15;NA;NA;;;;;;;;;;;;
300;10;9;30;7;0;0;15;NA;NA;;;;;;;;;;;;
300;11;9;30;10;0;0;15;NA;NA;;;;;;;;;;;;
300;12;9;30;14;0;3;12;NA;NA;;;;;;;;;;;;
300;13;9;70;7;0;0;15;NA;NA;;;;;;;;;;;;
300;14;9;70;10;0;0;15;NA;NA;;;;;;;;;;;;
300;15;9;70;14;0;0;15;NA;NA;;;;;;;;;;;;
300;16;9;110;7;0;0;15;NA;NA;;;;;;;;;;;;
300;17;9;110;10;0;0;15;NA;NA;;;;;;;;;;;;
300;18;9;110;14;0;1;14;NA;NA;;;;;;;;;;;;
300;19;12;30;7;2;0;13;-115;-22;;;;;;;;;;;;
300;20;12;30;10;5;1;9;-114;-20,03;;;;;;;;;;;;
300;21;12;30;14;14;1;0;-113,84;-17,93;;;;;;;;;;;;
300;22;12;70;7;0;0;15;NA;NA;;;;;;;;;;;;
300;23;12;70;10;3;5;7;-114,64;-21,92;;;;;;;;;;;;
300;24;12;70;14;6;5;4;-114,82;-21,39;;;;;;;;;;;;
300;25;12;110;7;0;0;15;NA;NA;;;;;;;;;;;;
300;26;12;110;10;0;1;14;NA;NA;;;;;;;;;;;;
300;27;12;110;14;1;3;11;-115;-24;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
